Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582131600000,10149.99000000,10250.00000000,10133.10000000,10158.94000000,4021.11532300,1582135199999,40964656.45207728,33684,1933.07592100,19696689.02305850,0
1582135200000,10157.57000000,10200.00000000,10131.25000000,10194.77000000,2036.27168100,1582138799999,20693269.38900684,26362,997.16092100,10135492.23901226,0
1582138800000,10194.39000000,10207.69000000,10136.90000000,10139.22000000,1904.84971100,1582142399999,19390286.66214118,23929,885.23534800,9010543.81462576,0
1582142400000,10138.59000000,10154.64000000,10045.45000000,10152.55000000,3065.34777500,1582145999999,30976557.57006188,39005,1422.26947000,14376345.54853572,0
1582146000000,10153.18000000,10156.48000000,9350.00000000,9615.72000000,13231.25708600,1582149599999,128302136.82764202,111422,5391.60844200,52395286.57106397,0
1582149600000,9615.77000000,9711.08000000,9500.00000000,9693.13000000,6835.30711600,1582153199999,65750488.51761746,75348,3184.75484700,30645337.70984334,0
1582153200000,9693.60000000,9696.50000000,9572.42000000,9593.79000000,3666.94503700,1582156799999,35348776.54286663,45488,1673.48446600,16133932.08186864,0
1582156800000,9594.65000000,9653.90000000,9575.00000000,9626.38000000,3780.29738600,1582160399999,36346679.43765643,46769,1842.92239100,17718226.33169608,0
1582160400000,9626.38000000,9668.00000000,9595.83000000,9600.84000000,2086.25981600,1582163999999,20064440.49411266,26833,1014.57911100,9757095.11058553,0
1582164000000,9600.84000000,9613.86000000,9500.00000000,9588.41000000,4045.93729500,1582167599999,38672341.46071225,44768,2025.96422300,19366831.82324810,0
1582167600000,9588.40000000,9605.26000000,9551.56000000,9571.50000000,1940.64124100,1582171199999,18600787.33559592,23393,899.62256000,8622594.55281058,0
1582171200000,9571.50000000,9600.54000000,9545.70000000,9581.37000000,1540.57821700,1582174799999,14749527.47679732,19707,730.87164500,6997313.17184477,0
1582174800000,9581.36000000,9586.01000000,9538.00000000,9570.02000000,1601.16451900,1582178399999,15309164.77215425,21998,889.51076600,8504225.35259727,0
